id,text_id,annotator_id,minority_id,negative_emotions,call_to_action,source_of_knowledge,irony_sarcasm,topic,text,rating,sentiment,text_length,word_count,text_clean
8918,51007,6,51,True,True,1,True,11, Nie jest więc przejawem tolerancji obecność na marszu  gejów lewactwa wszelkiej maści bo oni popierają homoseksualizm jako orientację taką samą jak wszystkie inne akceptują taki styl więc z ich punktu widzenia wszystko jest w porządku,2,1,235,35,przejaw tolerancja obecność marsz gej lewactwo wszelki maść popierać homoseksualizm orientacja taki sam akceptować styl punkt widzieć porządek
12362,47100,4,51,True,True,2,True,11,  geje i adopcja dzieci zakaz,0,0,29,5,   gej adopcja dziecko zakaz
9359,63959,6,31,True,True,1,True,1, Gdy do rannego  taliba zbliżyli się Sojuszu Północnego odpalił schowany za pazuchą wybuchowy zabijając  siebie i kilku wrogów,0,0,126,18,ranny taliba zbliżyć sojusz północny odpalić schować pazucha wybuchowy zabijać siebie wróg
173,18141,14,0,True,True,0,True,0,"XXI wiek i ludzie mają takie siano w głowie...


Religia... ciemnota straszna i zło...


Chrystus był żydem... nie udało mu się nawrócić żydów na swoje to jego ""uczniowie"" rozprzestrzenili tę zarazę po świecie mordując wielu ludzi ""z miłości do bliźniego"" i ""dla ich dobra""....


ciemnota i jeszcze raz ciemnota.. w dodatku uprzywilejowana i stojąca ponad prawem i krytyką...

-- 

Nie róbmy bałaganu! Zawsze trzeba walczyć o precyzję i merytoryczne wypowiedzi!",0,0,461,70,"xxi wiek człowiek siać głowa 


 religia ciemnota straszny zło 


 chrystus żyd udać nawrócić żyd uczeń rozprzestrzenić zaraza świat mordować człowiek miłość bliźni dobro 


 ciemnota ciemnota dodatek uprzywilejować stać prawo krytyka 

 

 róbmyć bałagan walczyć precyzja merytoryczny wypowiedź"
706,115480,10,72,True,True,0,True,0, Cieszę się  carrambello zmieniłeś wreszcie amerykańskiego  Niemca na satyryka francuskiego,0,0,91,10,cieszyć carrambello zmienić być wreszcie amerykański niemca satyryk francuski
6064,46685,5,77,True,True,2,True,10, Tak czy inaczej sek w tym ze nie był Rusinem tym bardziej nie byl  Rosjaninem,0,0,78,15,inaczej sek rusin rosjanin
4678,62602,3,78,True,True,1,True,1, Przyjazdy do  Pawłokomy emisariuszy  OUN zebrania  Ukraińców podburzające wystąpienia przeciwko Polakom powodowały narastającą wzajemną niechęć między mieszkańcami obu narodowości,0,0,180,19,przyjazd pawłokomy emisariusza oun zebrać ukraińiec podburzać wystąpienie przeciwko polakom powodować narastającą wzajemny niechęć mieszkaniec oba narodowość
7400,163592,3,77,True,True,1,True,3, Wszystko co  Ruscy z  siebie wypuścili jest dla mnie  niewiarygodne bo słyną oni z nieszanowania jednostki liczy się tylko wspólna sprawa i komitet centralny,2,1,158,24,ruski siebie wypuścić niewiarygodny słynąć nieszanowania jednostka liczyć wspólny sprawa komitet Centralny
12689,135881,3,72,True,True,1,True,10,  Niemcy nic do dzisiaj sami nie przetrawili zmuszono ich do tego,0,0,65,11,   niemcy sam przetrawić zmuszono
8741,156039,6,77,True,True,1,True,2, Najlepszymi kupcami majatku naszego panstwa znowu  sa  ROSJANIE z  GAZPROMU,2,1,76,10,najlepszymi kupc majatek panstwo SA rosjanin gazprom
659,112417,10,71,True,True,0,True,0,  To niedaleko Oprócz Kielc były inne mordy na  Zydach,0,0,54,9,   niedaleko oprócz kielc morda zyda
9120,12412,6,77,True,True,1,True,11, Jeśli  Rosjanie chcą się pojednać proszę bardzo,0,0,48,7,rosjanin chcieć pojednać prosić
12188,100207,4,0,True,True,1,True,10, przynajmniej odbiega od reszty tych  brudasów  aktorków i innych w wycieruchach,0,0,80,11,przynajmniej odbiegać reszta brudas aktork wycieruche
372,9710,14,77,True,True,0,True,0,  O prześladowaniach  Żydów przez  Sowietów a także komunistyczne władze polskie piszą  m  in,0,0,93,13,   prześladowani żyd sowieta komunistyczny władza polski pisać in
13594,38801,8,77,True,True,1,True,10,  gt Jak porownac takie informacje uzyskiwane przez  Rosjan,0,0,59,8,   gt porownac informacja uzyskiwać rosjan
680,50002,11,51,True,True,0,True,17,dla żydów pedałów mam wiekszy szacunek niz dla tego scierwa moherowego,1,1,70,11,żyd pedał wiekszy szacunek scierw moherowy
9183,57805,6,31,True,True,1,True,1,  Najpierw wdarli się do domu  Khoury poszukując człowieka którego kochała nieszczęsna zamordowana  muzułmanka,0,0,110,13,   najpierw wdrzeć dom khoura poszukuć człowiek kochać nieszczęsny zamordować muzułmanek
4836,7352,5,51,True,True,2,True,9, Czy któremuś z Państwa zrobił jakiś  gej  cos złego,0,0,52,9,któremuś państwo zrobić gej zły
6811,56866,5,72,True,True,2,True,1,  24 października  1938 roku  Niemcy podczas rozmowy Lipski Ribbentrop przedstawiły Polsce swoje które można raczej nazwać pakietem propozycji bo nie były one początkowo wysunięte w tonie ultymatywnym,0,0,200,27,    październik    niemiec rozmowa lipski ribbentrop przedstawić Polska raczej nazwać pakiet propozycja początkowo wysunięte tona ultymatywny
11330,91366,5,51,True,True,2,True,10, co za roznica czy  gej czy  nie wazne ze przyjaciel,0,0,52,10,roznica gej wazny przyjaciel
13580,37947,8,77,True,True,2,True,3, Mętne tłumaczenia  Rosjan Miedwiediew nie chce przyjechać do Katynia  7 kwietnia ponieważ odwiedzi oficjalnie Polskę w drugiej połowie kwietnia,1,1,144,19,mętny tłumaczenie rosjan miedwiediew przyjechać katyć    kwiecień odwiedzić oficjalnie polska drugi połowa kwiecień
12895,77295,4,51,True,True,2,True,6, szkoda leszczu ze nie ogladales pierwszego meczu bo bys wtedy pisal ze to  barcelona zasluzenie awansowala ale wy  labaje tylko piszecie zeby denerwowac innych bo  napewno jestes fanem  utd i sie  boisz ze  barcelona was rozniesie bo nie ma co ukrywac ale  messi jest  conajmniej o klase lepszy od  geja  ronaldo,0,0,313,51,szkoda leszcz ogladales pierwszy mecz bys pisal barcelyć zasluzeć awansowal labawać piszecie denerwowac napewno Jestes fan utd boisz barcelć roznieść ukrywac messi conajmni klase dobry gej ronaldo
6074,47183,5,71,True,True,2,True,1, Zbrodniczy haniebny Sąd Najwyższy III Rzeszy orzekł  Żydzi to nie ludzie,0,0,73,11,zbrodniczyć haniebny sąd najwyższy iii rzesza orzec żydzieć człowiek
9968,64286,2,71,True,True,2,True,1, Ale wśród tych ludów wszystkich różnych ras i religii naszej ojczyzny jak chciał Mickiewicz nie ma ludu  żydowskiego,2,1,117,18,lud różny rasa religia nasz ojczyzna chcieć Mickiewicz lud żydowskiy
5547,147846,6,72,True,True,1,True,11,  Tu  tysz  wyuazi roznica  miendzy Polska walczaca a  spokojnom reakcjom tego slonskiego  Niemca,0,0,97,13,   tysz wyuazi roznica mieng Polska walczacać spokojn reakcja slonskiy niemca
9566,69004,6,71,True,True,1,True,1, Warto więc może przypomnieć  nie kłamstwo ale rzeczywiste fakty jak to spora część  Żydów radośnie bawiła się w getcie i pławiła w luksusach w tym samym czasie gdy ich ubożsi ziomkowie umierali z głodu,0,0,202,34,warto przypomnieć kłamstwo rzeczywisty fakt spory część żyd radośnie bawić gett pławić luksusa sam czas ubożsi ziomk umierać głód
13484,31820,8,88,True,True,2,True,9,  Brudas Azjatycki  brudasus  zezookus towarzyski  ptok z gatunku nielotów bliski krewny wymarłego ptaka Dodo,2,1,109,14,   brudas azjatycki brudasus zezookus towarzyski ptok gatunek nielota bliski krewny wymarłego ptak dodo
9839,24578,6,51,True,True,1,True,7,  O wiele jest podobac się mężczyznom zwracać ich uwagę prowokować męskie gusta są dość jednoznaczne  bez obrazy nieliczni panowie najczęściej  geje mają gust ciekawszy niz,2,1,172,25,   podobac mężczyzna zwracać uwaga prowokować męski gust jednoznaczny obraz nieliczny pan często gej gusta ciekawsza
9418,56181,6,10,True,True,2,True,10, Szwajcarzy Polacy czy inni Eskimosi bądź nawet  Cyganie morda w kubeł jeśli nie chcecie chwalić,2,1,96,15,szwajcarzyć Polak inny eskimosić bądź cyganie mord kubeł chcecie chwalić
12594,71464,4,71,True,True,1,True,1, Nieco dalej Prus ocenia sytuację  Żydów w Królestwie Wracam teraz do  Żydów nieprzejednanych,0,0,93,13,nieco daleko prus oceniać sytuacja żyd królestwo wracać żyd nieprzejednanych
12461,80050,4,77,True,True,1,True,6, Legia ma przerąbane z założeni więc może być tylko dobrze bo  ruskich  nie zlekceważą na  pewno,0,0,96,16,legia przerąbać założić ruski zlekceważyć pewno
12644,140195,4,72,True,True,1,True,10, Jeśli ktoś się bał to nie  Niemców,0,0,35,7,bać niemiec
11931,61805,3,71,True,True,1,True,8,  Ma wyrzuty sumienia nie jest tam nie walczy wspólnie z innymi  Żydami,0,0,71,12,   wyrzut sumienie walczyć wspólnie inny żyda
1816,74181,11,71,True,True,2,True,17, Mówią o nich ten  Żydek ale nie ma w tym cienia antysemityzmu,2,1,62,12,mówić żydek cieień antysemityzm
4198,100875,3,51,True,True,1,True,11,  A  TO DLATEGO SAM JESTEŚ  GEJEM  I WZDYCHASZ PRZED SNEM  DO PLAKATU PIROGA  A RANO ZNOWU PRZEŚCIERADŁO  DO WYMIANY  I WSTYD,2,1,125,21,   być gej wzdychać sn plakat piroga rano prześcieradnąć wymiana wstyd
8573,13319,6,77,True,True,1,True,3, Jeżeli Rosja stanie się kolonią obcych mocarstw to owe mocarstwa niczego nie zrobią dla  Rosjan poza tym co  niezbędne do eksploatacji jej bogactw,2,1,147,23,rosja stać kolonia obcy mocarstwo owe mocarstwo nic zrobić rosjan niezbędny eksploatacja bogactwo
8570,16818,6,71,True,True,1,True,1, Zarówno w wydanej w  1999  r Upiornej Dekadzie jak i w wydanych w  2000  r Sąsiadach Gross idzie dosłownie w zaparte dla zaprzeczenia faktom o kolaboracji  Żydów,2,1,162,27,zarówno wydać     upiornej dekaść wydać     sąsiade gross iść dosłownie zaparty zaprzeczeć fakt kolaboracja żyd
8287,24737,6,13,True,True,2,True,11, U nich  gt kupa  murzynów i,2,1,28,6,gt kup murzyn
11545,74371,5,71,True,True,2,True,1,  I dopiero w osiemdziesiątym piątym roku zasadził drzewko w Jerozolimie jako jeden ze  Sprawiedliwych Potem przyszedł rok  sześcdziesiąty nastąpiły spektakularne i brutalne działania państwa komunistycznego przeciwko  Żydom,0,0,224,27,   dopiero osiemdziesiąty piąty zasadzić drzewko jerozolim sprawiedliwy potem przyjść rok sześcdziesiąty nastąpić spektakularny brutalny działanie państwo komunistyczny przeciwko żyd
11678,61806,2,72,True,True,2,True,10, Augustyna który służył  Niemcom za magazyn,0,0,43,6,augustyna służyć niemcom magazyn
12735,144899,3,72,True,True,1,True,11, Urodzilem sie za  Niemca w  Labedach a po wojnie zaczalem chodzic do polskiego przedszkola,0,0,91,14,urodzil niemca labedach wojna zaczal chodzic polski przedszkole
8374,57532,2,31,True,True,2,True,3,  Islamiści przekonali się jaka władzę posiadają w  USA  peaceniks walnięci pacyfiści,0,0,85,11,   islamista przekonać jaki władza posiadać usa peaceniks walnąć pacyfiść
444,44029,12,77,True,True,0,True,0, Szkoda  rosjanie mając tak genialnych ludzi u  siebie nie chcą korzystać z ich pomocy,0,0,86,14,szkoda rosjanie mieć genialny człowiek siebie chcieć korzystać pomoc
12034,61469,4,71,True,True,1,True,1, Mówienie o tym jest to podła propaganda antysemicka która ma pokazać jak to  Żydzi dorobili się majątku na Holokauście,0,0,119,19,mówić podły propaganda antysemicki pokazać żydzieć dorobić majątek holokauśta
12755,27766,3,51,True,True,1,True,11,  A faktem jest moda na chude która została wylansowana najczęściej przez projektantów  gejów mija i to są fakty,1,1,112,18,   fakt moda chudy zostać wylansować często projektant gej mijać fakt
783,122545,10,77,True,True,2,True,2,  gt  Rosjanie wypierali się mordu w Katyniu dlatego to wina Polaków,2,1,68,11,   gt rosjanin wypierać mord katyniu wino polak
12224,140835,4,31,True,True,2,True,3, Rosja może zechcieć wspierać radykalnych  islamistów w celu dalszego destabilizowania sytuacji w tym regionie,0,0,110,14,rosja zechcieć wspierać radykalny islamist cel dalszego destabilizować sytuacja region
9595,61830,6,71,True,True,1,True,1, Setki artykułów poświęcono postawie polskiego społeczeństwa wobec  Żydów w czasie wojny przed wojną i po jej zakończeniu,0,0,121,17,setka artykuł poświęcić postawa polski społeczeństwo wobec żyd czas wojna wojna zakończyć
161,17488,14,0,True,True,0,True,0,"A po co Tuskowi sympatia Rosjan? Przecież oni nie głosują w wyborach 

prezydenckich!

-- 

---",0,0,95,15,"tusk sympatia rosjanin głosować wybory 

 prezydencki 

 

"
9075,57294,6,71,True,True,1,True,8, Poza tym z tego co wiem  gt  Zydom  gt  gt chodzi o to by nie stawiac  gt  gt terrorystow mordujacych  gt niewinnych  gt  gt cywili na piedestale,0,0,146,27,wiedzieć gt zyd gt gt chodzić stawiac gt gt terrorystow mordujacy gt niewinnych gt gt cywić piedestał
496,53731,10,51,True,True,2,True,5,"Te wybory są dla nas przełomowe. Ruch Palikota dał gejom, lesbijkom, osobom często wykluczonym i marginalizowanym dużą szansę, żeby nasze problemy zaistniały w przestrzeni publicznej  powiedział na dzisiejszej konferencji prasowej Robert Biedroń.
Więcej:Pedały, transwestyci, ateiści, zboczeńcy.. 
Co za ohyda. .Palikot łączy w sobie wszystkie najgorsze założenia ideologi lewackiej... Jest sprzedawczykiem - tak określa go własna żona. Stał się gorliwym katolikiem by zmienić się w ateistę, był w rzekomo prawicowej PO by się wypromować i stworzyć własny ruch.A gdzie w wypowiedzi skorka masz sex po slubie i prezerwatywy, żałosny lewaku?. 
Tam jest tylko o pedałach, ateistach i innych zboczeńcach.",1,1,700,98,wybory przełomowy ruch palikota dać gej lesbijek osoba wykluczony marginalizowany duży szansa problem zaistniać przestrzeń publiczny powiedzieć dzisiejszy konferencja prasowy robert biedroń więcejpedać transwestyci ateiść zboczeńcy ohyda palikot łączyć najgorsze założenie ideologa lewacki sprzedawczyek określać własny żona stać gorliwy katolikie zmienić ateista rzekomo prawicowy wypromować stworzyć własny ruch wypowiedź skorek mieć sex slub prezerwatyw żałosny lewak pedała ateista zboczeńec
6416,30229,3,72,True,True,1,True,1, Wiec ty jako przedstawiciel  Niemcow nie powinienes wypowiadac sie na ten temat,1,1,80,12,wiec przedstawiciel niemcow powinienes wypowiadac temat
12791,90685,3,51,True,True,1,True,11, Zawsze jak ktoś pisze na ten temat to radzę zastanowić się  jakby twój syn czy brat byli  gejem to co odrzuciłbyś ich ze swojego  To tacy sami ludzie jak my tylko  bardziej nieszczęsliwi gdyż muszą się ukrywać ze swoimi uczuciami przez takich jak  TY,0,0,251,44,pisać temat radzić zastanowić syn brat gej odrzuciłbyś swój taki sam człowiek nieszczęsliwy musieć ukrywać swój uczucie
9008,70827,6,71,True,True,1,True,1,  Do obowiązków każdego z nich w pierwszych tygodniach eksterminacji latem  1942 roku należało dostarczenie odpowiedniej ilości  Żydów przeznaczonych na,0,0,152,19,   obowiązek każdy pierwszy tydzień eksterminacja lato    należeć dostarczyć odpowiedni ilość żyd przeznaczyć
6108,50160,5,51,True,True,2,True,9,  Pedał to przecież nieudany mężczyzna a lesbijka niespełniona kobieta,2,1,70,9,   pedał nieudać mężczyzna lesbijka niespełniony kobieta
9936,21605,2,77,True,True,2,True,3, nigdy  nie zaakceptują Rosji  putinowskiej jako solidnego uczciwego partnera a  Rosjan jako pełnoprawnych Europejczyków,2,1,120,14,zaakceptywać rosja putinowski solidny uczciwy partner rosjan pełnoprawny europejczyk
6361,51230,5,71,True,True,2,True,10, mordowali jeszcze pojedynczych ukrywających się  Żydów  10,0,0,59,7,mordować pojedynczy ukrywających żyd
6178,50727,5,71,True,True,2,True,6,  ronaldo chyba chce powoli sie staczac bo tylko to mozna zrobic u tych  zydow  sreal tylko marnuje pilkarzy i,2,1,110,19,   ronaldo chyba powoli staczac zrobic zydow srealć marnować pilkarz
12877,29592,4,51,True,True,1,True,11,  Z tego by wynikalo ze powinni oni byc wszyscy  gejami co jest niedorzeczne,0,0,76,13,   wynikalo geja niedorzeczny
5256,20390,5,77,True,True,2,True,10, Hotel rzeczywiscie zdominowany prze  Rosjan,0,0,44,5,hotel rzeczywiscie zdominowan pra rosjan
11814,50925,3,31,True,True,1,True,10, Słownik ortograficzny jezyka polskiego podaje jako zasadę pisownię małą literą słowa  muzułmanin,0,0,97,12,słownik ortograficzny jezyka polski podawać zasada pisownia mały litera słowo muzułmanin
14342,57863,8,71,True,True,1,True,1, Przytoczę Polaków spisane od razu po wojnie a nie dziesiątki lat potem Stanisław  Stomma Zdawało się  straszliwe doświadczenie okupacji i bezmiar zbrodni popełnionych na  Żydach przyniesie wielkie zmiany w poglądzie na sprawę pogląd ten pogłębi i zhumanizuje,0,0,259,37,przytoczyć polak spisać raz wojna dziesiątka rok potem Stanisław stomma zdawać straszliwy doświadczenie okupacja bezmiar zbrodnia popełniony żyda przynieść wielki zmiana pogląd sprawa pogląd pogłębi zhumanizywać
12511,56338,4,71,True,True,1,True,1, juz w grudniu  1939  r pisal ze Polacy pod wplywem przesladowan wyprzedaja  Zydom za bezcen to co posiadaja,0,0,108,18,grudzień     pisal Polak wplywo przesladowan wyprzedajać zydom bezcen posiadajać
4346,69094,2,71,True,True,1,True,1,  Z licznych zapisków na  te tematy możemy dowiedzieć się w czasach potwornej nędzy przeważającej części mieszkańców getta warszawskiego inni  Żydzi,0,0,148,20,   liczny zapisek temat móc dowiedzieć czas potworny nędza przeważać część mieszkaniec getta warszawski inny żydzieć
6614,52121,5,14,True,True,2,True,3,  Ma możliwość atakowania sił  USA i sprawienia będzie to wyglądało na akt ze strony palestyńskich  Arabów  32,0,0,110,17,   możliwość atakować siła usa sprawieć wyglądać akt strona palestyński arab
8766,17534,6,77,True,True,1,True,3,  Nie można mieć pretensji do  Rosjan nie zweryfikowali swojego stanowiska na temat tego w kabinie padła komenda dowódcy odchodzimy na drugie zajście zanim padła komenda z ziemi  Gorizont  101,0,0,192,29,   mieć pretensja rosjanin zweryfikować swój stanowisko temat kabina paść komenda dowódca odchodzić drugi zajście zanim paść komenda ziemia gorizont
15254,105168,9,71,True,True,1,True,1, Pochodził on z ziem polskich w beletrystyce go nawet z Powstaniem Styczniowym ale pisał po niemiecku bo język ten był wówczas głównym językiem  żydowskim,0,0,154,24,pochodzić zie polski beletrystyka powstać styczniowy pisać niemiecki język wówczas główny język żydowski
12793,53531,3,72,True,True,1,True,1, Jeżeli młody  Niemiec stara się wybielać czyny swojego przodka to należy go traktować na równi z tym przodkiem natomiast jeżeli piętnuje  te czyny to nie ma nic wspólnego z tymi zbrodniami,1,1,189,31,młody niemiec starać wybielać czyn swój przodek należeć traktować równia przodk piętnować czyn wspólny ten zbrodnie
15182,71894,4,71,True,True,1,True,10, Naziści są usatysfakcjonowani robotą policji tej plagi  żydowskiego organizmu,0,0,78,9,nazista usatysfakcjonować robota policja plaga żydowskiy organizm
4937,55739,2,71,True,True,2,True,9,  Zydzi maja swoje zale a Polacy swoje,2,1,38,7,   zydzić maj zale Polak
10257,2086,2,51,True,True,2,True,11, Nie mozna lubic czy  nie lubic  gejow w ogolnosci to  sa miliony ludzi  l  gt  ubisz jednych innych nie,0,0,104,19,lubic lubic gejow ogolnosci SA milion człowiek gt ubić jeden
1786,72624,11,71,True,True,0,True,2, Jakbyś nie wiedział co to oznacza a chyba jak mi się wydaje nie wiesz to było to planowe przemysłowe wymordowanie całego narodu  żydowskiego który znalazł się w zasięgu hitlerowców i ich sojuszników,0,0,199,32,jakby być wiedzieć oznaczać chyba wydawać wiedzieć planowy przemysłowy wymordowanie cały naród żydowskiy znaleźć zasięg hitlerowca sojusznik
15020,63584,4,72,True,True,1,True,10, Jaskrawym  gt przykładem są  Niemcy,0,0,36,5,jaskrawy gt przykład Niemcy
10743,105895,2,71,True,True,2,True,1,  Po prostu norma w społeczeństwie była taka  Żydom nie należy pomagać powiedział autor kontrowersyjnej książki Złote na antenie RMF  FM,0,0,136,20,   prosty normać społeczeństwo żyd należeć pomagać powiedzieć autor kontrowersyjny książka złoty antena rmf fm
15258,105168,9,71,True,True,1,True,1,  W całej Europie niemal wytworzył się prąd narodowy i  Żydzi zaczęli traktować  siebie jako jeden naród rozdzielony tylko diasporą,0,0,131,19,   cały europa niemal wytworzyć prąd narodowy żydzieć zacząć traktować siebie naród rozdzielić diaspora
4133,164571,4,77,True,True,2,True,1,  Jaruzel czul sie jak ryba w wodzie w tym systemie a  ruskich to zapewne sam prosil o przykrywke dla swoich dzialan,0,0,116,21,   jaruzel czul ryba woda system ruski prosil przykrywke swój dzialan
15094,51756,4,51,True,True,1,True,10,  lesbijek chcą wprowadzić do polskich szkół podręczniki w których orientacja homoseksualna będzie na równi traktowana z heteroseksualną,0,0,136,17,   lesbijka chcieć wprowadzić polski szkoła podręcznik orientacja homoseksualny równia traktować heteroseksualny
6683,53554,5,71,True,True,2,True,1, Nie wiem tez czy  Ty orientujesz sie w wiedzy srodowisk  zydowskich w Stanach zwlaszcza tego mlodszego pokolenia,0,0,113,17,wiedzieć tez orientujesz wiedza srodowisko zydowskich stany zwlaszczać mlodszy pokolenie
12389,128369,3,77,True,True,1,True,10,  boblebowsky napisał  gt  I na koniec o winie  Rosjan,0,0,54,9,   boblebowsky napisać gt koniec wino rosjan
7662,15204,2,31,True,True,2,True,5, co niektórzy próbuja sie islamskiej nawale przeciwstawic ale temu sprzeciwiają sie  zaróno  narodowwcy zatroskani o chrześcijański wymiar europy jak i ateiści którzy kosza równo z trwa wszystko to co kojarzy sie z jakąkolwiek religią  niemniej  Muzułmanie  nie mają prawa czuć się przesladowani w Europie a jesli nawet to potrafią się temu skutecznie  przeciwstaić czego nie mozna powiedziec o chrześcijanach choc ostatnie przykłady z  włoch w obronie krzyża  sa  buduące i daja nadzieje na zmiane  chrystofobicznego kursu w  UE,1,1,529,78,niektóry próbuja islamski nawala przeciwstawice sprzeciwiać zaróno narodowwca zatroskany chrześcijański wymiar Europa ateiść kosz równo trwać kojarzyć jakąkolwiek religia niemniej muzułmanin prawo czuć przesladować europa potrafić skutecznie przeciwstaić co powiedziec chrześcijan choc ostatni przykład włoch obrona krzyż SA buduące dajać nadzieja zmiać chrystofobiczny kurs UE
9727,23381,6,51,True,True,1,True,5, Teraz wiem Bóg stworzył mnie  gejem po to bym pielęgnował otrzymany od niego dar miłości w pełnym związku z mężczyzną,0,0,118,20,wiedzieć bóg stworzyć gej pielęgnować otrzymać dar miłość pełny związek mężczyzna
14491,61331,8,71,True,True,1,True,1,  Z tego pytania mozna zrozumiec ze  KAZDY  Zyd ktory przezyl Holokaust dostal odszkodowanie i bardzo wzbogacil sie,1,1,115,17,   pytanie zrozumiec zyda przezyl holokaust dostal odszkodowanie wzbogacil
8037,75139,2,71,True,True,2,True,1, Liczbę powojennych  żydowskich ofiar Polaków szacuje się na  500  1500,0,0,71,10,liczba powojenny żydowski ofiara polak szacować    
812,124638,10,12,True,True,1,True,4, a więc  Ślązacy są na dobrej drodze prowadzącej wprost do ich germanizacji,1,1,75,12,ślązacy dobry droga prowadzącej wprost germanizacja
10494,126823,5,71,True,True,2,True,10,  gt Przy okazji poszukuje w  USA organizacji  żydowskich aby się do nich zwrócić z z  gt  apytaniem czy taka forma publikacji  nie narusza ich dobrego imienia,0,0,159,26,   gt okazja poszukiwać usa organizacja żydowski zwrócić gt apytan forma publikacja naruszać dobry imię
6986,158371,5,77,True,True,2,True,10,  gt  gt  Rosjanie mieli  duże kłopoty z dokładnym,0,0,50,8,   gt gt rosjanin mieć duży kłopot dokładć
